#_1.r   2.|psi|   3.d|psi|/dr 

  3.5400    5.2561e-02   -5.9529e-02
  3.5500    5.1969e-02   -5.8840e-02
  3.5600    5.1384e-02   -5.8160e-02
  3.5700    5.0806e-02   -5.7489e-02
  3.5800    5.0234e-02   -5.6825e-02
  3.5900    4.9669e-02   -5.6169e-02
  3.6000    4.9111e-02   -5.5521e-02
  3.6100    4.8559e-02   -5.4881e-02
  3.6200    4.8013e-02   -5.4248e-02
  3.6300    4.7474e-02   -5.3623e-02
  3.6400    4.6941e-02   -5.3005e-02
  3.6500    4.6414e-02   -5.2395e-02
  3.6600    4.5893e-02   -5.1792e-02
  3.6700    4.5378e-02   -5.1196e-02
  3.6800    4.4869e-02   -5.0607e-02
  3.6900    4.4366e-02   -5.0025e-02
  3.7000    4.3868e-02   -4.9450e-02
  3.7100    4.3377e-02   -4.8882e-02
  3.7200    4.2891e-02   -4.8321e-02
  3.7300    4.2410e-02   -4.7766e-02
  3.7400    4.1935e-02   -4.7218e-02
  3.7500    4.1466e-02   -4.6676e-02
  3.7600    4.1002e-02   -4.6141e-02
  3.7700    4.0543e-02   -4.5612e-02
  3.7800    4.0090e-02   -4.5090e-02
  3.7900    3.9641e-02   -4.4573e-02
  3.8000    3.9198e-02   -4.4063e-02
  3.8100    3.8760e-02   -4.3559e-02
  3.8200    3.8327e-02   -4.3060e-02
  3.8300    3.7899e-02   -4.2568e-02
  3.8400    3.7475e-02   -4.2081e-02
  3.8500    3.7057e-02   -4.1600e-02
  3.8600    3.6643e-02   -4.1125e-02
  3.8700    3.6235e-02   -4.0655e-02
  3.8800    3.5830e-02   -4.0191e-02
  3.8900    3.5431e-02   -3.9732e-02
  3.9000    3.5036e-02   -3.9279e-02
  3.9100    3.4645e-02   -3.8831e-02
  3.9200    3.4259e-02   -3.8388e-02
  3.9300    3.3877e-02   -3.7951e-02
  3.9400    3.3500e-02   -3.7518e-02
  3.9500    3.3127e-02   -3.7091e-02
  3.9600    3.2758e-02   -3.6669e-02
  3.9700    3.2394e-02   -3.6251e-02
  3.9800    3.2033e-02   -3.5839e-02
  3.9900    3.1677e-02   -3.5431e-02
  4.0000    3.1324e-02   -3.5028e-02
  4.0100    3.0976e-02   -3.4630e-02
  4.0200    3.0632e-02   -3.4237e-02
  4.0300    3.0291e-02   -3.3848e-02
  4.0400    2.9955e-02   -3.3463e-02
  4.0500    2.9622e-02   -3.3083e-02
  4.0600    2.9293e-02   -3.2708e-02
  4.0700    2.8968e-02   -3.2337e-02
  4.0800    2.8646e-02   -3.1970e-02
  4.0900    2.8329e-02   -3.1608e-02
  4.1000    2.8014e-02   -3.1249e-02
  4.1100    2.7704e-02   -3.0895e-02
  4.1200    2.7396e-02   -3.0545e-02
  4.1300    2.7093e-02   -3.0200e-02
  4.1400    2.6792e-02   -2.9858e-02
  4.1500    2.6496e-02   -2.9520e-02
  4.1600    2.6202e-02   -2.9186e-02
  4.1700    2.5912e-02   -2.8856e-02
  4.1800    2.5625e-02   -2.8530e-02
  4.1900    2.5341e-02   -2.8207e-02
  4.2000    2.5061e-02   -2.7888e-02
  4.2100    2.4783e-02   -2.7573e-02
  4.2200    2.4509e-02   -2.7262e-02
  4.2300    2.4238e-02   -2.6954e-02
  4.2400    2.3970e-02   -2.6650e-02
  4.2500    2.3705e-02   -2.6349e-02
  4.2600    2.3443e-02   -2.6052e-02
  4.2700    2.3184e-02   -2.5759e-02
  4.2800    2.2928e-02   -2.5468e-02
  4.2900    2.2675e-02   -2.5181e-02
  4.3000    2.2424e-02   -2.4898e-02
  4.3100    2.2177e-02   -2.4617e-02
  4.3200    2.1932e-02   -2.4340e-02
  4.3300    2.1690e-02   -2.4066e-02
  4.3400    2.1451e-02   -2.3795e-02
  4.3500    2.1214e-02   -2.3528e-02
  4.3600    2.0980e-02   -2.3263e-02
  4.3700    2.0749e-02   -2.3001e-02
  4.3800    2.0520e-02   -2.2743e-02
  4.3900    2.0294e-02   -2.2487e-02
  4.4000    2.0070e-02   -2.2235e-02
  4.4100    1.9849e-02   -2.1985e-02
  4.4200    1.9631e-02   -2.1738e-02
  4.4300    1.9414e-02   -2.1494e-02
  4.4400    1.9201e-02   -2.1253e-02
  4.4500    1.8989e-02   -2.1015e-02
  4.4600    1.8780e-02   -2.0779e-02
  4.4700    1.8574e-02   -2.0546e-02
  4.4800    1.8369e-02   -2.0316e-02
  4.4900    1.8167e-02   -2.0088e-02
  4.5000    1.7968e-02   -1.9863e-02
  4.5100    1.7770e-02   -1.9640e-02
  4.5200    1.7575e-02   -1.9420e-02
  4.5300    1.7382e-02   -1.9203e-02
  4.5400    1.7191e-02   -1.8988e-02
  4.5500    1.7002e-02   -1.8776e-02
  4.5600    1.6815e-02   -1.8566e-02
  4.5700    1.6631e-02   -1.8358e-02
  4.5800    1.6448e-02   -1.8153e-02
  4.5900    1.6268e-02   -1.7950e-02
  4.6000    1.6089e-02   -1.7749e-02
  4.6100    1.5913e-02   -1.7551e-02
  4.6200    1.5738e-02   -1.7355e-02
  4.6300    1.5565e-02   -1.7161e-02
  4.6400    1.5395e-02   -1.6970e-02
  4.6500    1.5226e-02   -1.6780e-02
  4.6600    1.5059e-02   -1.6593e-02
  4.6700    1.4894e-02   -1.6408e-02
  4.6800    1.4731e-02   -1.6225e-02
  4.6900    1.4570e-02   -1.6044e-02
  4.7000    1.4410e-02   -1.5865e-02
  4.7100    1.4252e-02   -1.5688e-02
  4.7200    1.4096e-02   -1.5514e-02
  4.7300    1.3942e-02   -1.5341e-02
  4.7400    1.3790e-02   -1.5170e-02
  4.7500    1.3639e-02   -1.5001e-02
  4.7600    1.3490e-02   -1.4834e-02
  4.7700    1.3342e-02   -1.4669e-02
  4.7800    1.3196e-02   -1.4506e-02
  4.7900    1.3052e-02   -1.4344e-02
  4.8000    1.2909e-02   -1.4185e-02
  4.8100    1.2768e-02   -1.4027e-02
  4.8200    1.2629e-02   -1.3871e-02
  4.8300    1.2491e-02   -1.3717e-02
  4.8400    1.2354e-02   -1.3565e-02
  4.8500    1.2220e-02   -1.3414e-02
  4.8600    1.2086e-02   -1.3265e-02
  4.8700    1.1954e-02   -1.3118e-02
  4.8800    1.1824e-02   -1.2972e-02
  4.8900    1.1695e-02   -1.2828e-02
  4.9000    1.1567e-02   -1.2686e-02
  4.9100    1.1441e-02   -1.2545e-02
  4.9200    1.1316e-02   -1.2406e-02
  4.9300    1.1193e-02   -1.2268e-02
  4.9400    1.1071e-02   -1.2132e-02
  4.9500    1.0950e-02   -1.1998e-02
  4.9600    1.0831e-02   -1.1865e-02
  4.9700    1.0713e-02   -1.1733e-02
  4.9800    1.0596e-02   -1.1603e-02
  4.9900    1.0481e-02   -1.1475e-02
  5.0000    1.0367e-02   -1.1348e-02
  5.0100    1.0254e-02   -1.1222e-02
  5.0200    1.0142e-02   -1.1098e-02
  5.0300    1.0032e-02   -1.0975e-02
  5.0400    9.9229e-03   -1.0853e-02
  5.0500    9.8149e-03   -1.0733e-02
